                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.96108,                0.50771,                 1.0752,                0.97474,                0.92248,                0.94402,                0.72186,                0.90152,                0.38092,                 1.0212,              0.0002972,              0.0002972,              0.0002972
                     88,                0.99881,                 0.5474,                 1.0781,                0.98742,                0.91267,                 0.9453,                0.72811,                0.88424,                0.37741,                 1.0136,              0.0002774,              0.0002774,              0.0002774
                     89,                0.96062,                0.52115,                 1.0743,                0.98484,                0.92248,                0.94573,                0.72542,                0.89746,                0.36427,                  1.022,              0.0002576,              0.0002576,              0.0002576
                     90,                0.97254,                0.45542,                 1.0797,                0.98581,                0.92054,                0.94631,                0.72342,                0.88771,                0.37294,                 1.0117,              0.0002378,              0.0002378,              0.0002378
                     91,                0.92847,                0.43325,                 1.0601,                0.98752,                0.91992,                 0.9416,                0.71948,                0.89022,                0.36702,                  1.016,               0.000218,               0.000218,               0.000218
                     92,                0.91326,                0.40982,                 1.0541,                0.98245,                0.92442,                0.94056,                0.72125,                0.87337,                0.36308,                 1.0112,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.9152,                  0.414,                 1.0609,                0.99168,                 0.9243,                0.94219,                0.73086,                  0.859,                0.35661,                 1.0071,              0.0001784,              0.0001784,              0.0001784
                     94,                0.90695,                 0.4096,                 1.0618,                0.99168,                0.92425,                0.94329,                0.73393,                0.84791,                0.35197,                0.99958,              0.0001586,              0.0001586,              0.0001586
                     95,                0.90529,                0.39999,                 1.0564,                0.99214,                0.92054,                0.94385,                0.73245,                0.86318,                0.35501,                 1.0035,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.8701,                0.39002,                 1.0303,                0.98964,                0.92566,                0.94458,                0.74047,                0.83099,                0.34916,                0.99322,               0.000119,               0.000119,               0.000119
                     97,                0.87505,                0.38725,                 1.0526,                0.99023,                0.92054,                0.94428,                0.73969,                0.82971,                0.34867,                0.99206,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.90212,                0.40593,                 1.0675,                0.98961,                0.92287,                0.94389,                0.74091,                0.82999,                0.35149,                0.99193,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.90569,                0.40687,                 1.0585,                0.98962,                0.92406,                0.94333,                0.74257,                0.82664,                0.34952,                 0.9891,               5.96e-05,               5.96e-05,               5.96e-05
